"Text Editing","Backward Paragraph","Ctrl+Up","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Other Window","Ctrl+X O","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Down List","Ctrl+Alt+Down","Editing Text"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Edit","Transpose Words","Alt+T","Editing Text"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Text Editing","Previous Line","Shift+Up","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Text Editing","Kbd Macro Call","Ctrl+X E","Editing Text"
"Refactor - Java","Generalize Declared Type","Ctrl+C P X G","In Windows"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"File","Refresh","F5","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Kbd Macro End","Ctrl+X )","Editing Text"
"Run/Debug","Step Return","Ctrl+X Ctrl+A Ctrl+F","Debugging"
"Navigate","Next","Ctrl+.","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Text Editing","Next Word","Alt+F","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Edit","Redo","Ctrl+X R","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Backward Word","Shift+Alt+B","Editing Text"
"Refactor - Java","Rename - Refactoring ","Ctrl+C P R","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"Window","Next Editor","Ctrl+Alt+L","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Source","Format","Ctrl+F","Editing Java Source"
"Edit","Undo","F9","In Windows"
"Navigate","Forward History","Ctrl+X Ctrl+Right","In Windows"
"Text Editing","Copy Rectangle To Register","Ctrl+X R R","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Text Editing","Begin Buffer","Ctrl+<","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Text Editing","Split Window Vertically","Ctrl+X 3","In Windows"
"Text Editing","Universal Argument","Alt+1","Editing Text"
"Text Editing","Just One Space","Alt+Space","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Refactor - Java","Introduce Factory","Ctrl+C P X F","In Windows"
"Text Editing","Execute Extended Command","Alt+X","Editing Text"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"Refactor - Java","Move - Refactoring ","Ctrl+C P X B","In Windows"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Run/Debug","Run AspectJ/Java Application","Shift+Alt+X C","In Windows"
"Text Editing","Recenter Top Bottom","Ctrl+L","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Edit","Kill Sexp","Ctrl+Alt+K","Editing Text"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Text Editing","Exchange Point and Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"File","New (Class)","Ctrl+C P C","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Text Editing","Pop Tag Mark","Esc *","Editing Text"
"Text Editing","Backward Up List","Ctrl+Alt+Up","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Universal Argument","Ctrl+7","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Text Editing","Switch to Buffer","Ctrl+X B","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+4","Editing Text"
"Text Editing","Previous Word","Esc B","Editing Text"
"Edit","Delete","Delete","In Windows"
"Text Editing","Kbd Macro Cycle Ring Previous","Ctrl+X Ctrl+K Ctrl+P","Editing Text"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Apropos Command","Ctrl+Z A","Editing Text"
"Edit","Transpose Sexps","Ctrl+Alt+T","Editing Text"
"Text Editing","Point to Register","Ctrl+X /","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Run/Debug","Resume","Ctrl+C Ctrl+R","Debugging"
"Text Editing","Universal Argument","Alt+6","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Describe Help Commands","Ctrl+Z H","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Text Editing","Indent For Comment","Ctrl+;","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Begin Line","Shift+Ctrl+A","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Mark Word","Shift+Alt+2","Editing Text"
"Text Editing","Forward Paragraph","Shift+Ctrl+Down","Editing Text"
"Refactor - Java","Encapsulate Field","Ctrl+C P X E","In Windows"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Text Editing","Next Line","Shift+Down","Editing Text"
"Refactor - Java","Extract Interface","Ctrl+C P X I","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Text Editing","Page Up","Ctrl+V","Editing Text"
"Text Editing","Universal Argument","Ctrl+1","Editing Text"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Count Lines Buffer","Ctrl+X L","Editing Text"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Text Editing","I-Search forward","Ctrl+S","Editing Text"
"Text Editing","Down List","Ctrl+Alt+D","Editing Text"
"Text Editing","Insert Register","Ctrl+X R G","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"Text Editing","Yank","Ctrl+Y","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Text Editing","Kbd Macro Start","F3","Editing Text"
"Refactor - Java","Inline","Ctrl+C P X N","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Text Editing","Transpose Lines","Ctrl+X Ctrl+T","Editing Text"
"Run/Debug","Resume","Ctrl+X Ctrl+A Ctrl+R","Debugging"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Step Into","F5","Debugging"
"gazonk.del","Delete Previous Word","Alt+Backspace","In Console View"
"Text Editing","Begin Buffer","Esc Shift+,","Editing Text"
"Text Editing","Replace Rectangle","Ctrl+X R T","Editing Text"
"Text Editing","Next Line","Ctrl+N","Editing Text"
"Text Editing","Comment Previous","Alt+P","Editing Java Source"
"Text Editing","Set Mark Command","Ctrl+Space","Editing Text"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Refactor - Java","Move Type to New File","Ctrl+C P X T","In Windows"
"Text Editing","Indent Rigidly","Ctrl+X Tab","Editing Text"
"Text Editing","Delete Horizontal Space","Alt+\","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Describe Bindings","Ctrl+Z B","Editing Text"
"Text Editing","End Line","Shift+End","Editing Text"
"Text Editing","Insert Line Above Current Line","Ctrl+O","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"gazonk.del","Delete Char","Ctrl+D","In Console View"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","Regexp I-Search backward","Ctrl+Alt+R","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Text Editing","Describe Key","Ctrl+Z K","Editing Text"
"Text Editing","Yank Pop","Alt+Y","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Text Editing","Backward Word","Esc B","Editing Text"
"Edit","Find and Replace","Esc R","In Windows"
"Text Editing","Count Lines Region","Alt+=","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Text Editing","Keyboard Quit","Ctrl+G","Editing Text"
"Text Editing","Universal Argument","Ctrl+9","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Begin Line","Shift+Home","Editing Text"
"Text Editing","Mark Sexp","Ctrl+Alt+Space","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","I-Search backward","Ctrl+R","Editing Text"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
"Search","Open Search Dialog","Ctrl+Z S","In Windows"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Text Editing","Apply Macro To Region Lines","Ctrl+X Ctrl+K R","Editing Text"
"Run/Debug","Step Return","Ctrl+C Ctrl+F","Debugging"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Text Editing","End Line","End","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Text Editing","Describe Command","Ctrl+Z D","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Forward Paragraph","Ctrl+Down","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+6","Editing Text"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Edit","Forward Sexp","Shift+Ctrl+Alt+F","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Describe Command","Ctrl+Z F","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","End Buffer Other Window","Alt+End","Editing Text"
"Run/Debug","Step Over","Ctrl+C Ctrl+N","Debugging"
"Text Editing","Universal Argument","Alt+4","Editing Text"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"File","Print","Esc F9","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Text Editing","Eval Expression","Esc Shift+;","In Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Text Editing","Begin Buffer Other Window","Alt+Home","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"File","Save All","Shift+Ctrl+S","In Windows"
"Text Editing","Kbd Macro Call","Ctrl+X Ctrl+K K","Editing Text"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Navigate","Next","Alt+,","In Windows"
"Text Editing","Append Next Kill","Ctrl+Alt+W","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Comment Next","Esc N","Editing Java Source"
"Edit","Forward Sexp","Alt+Right","Editing Text"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"File","Properties","Alt+Enter","In Windows"
"gazonk.del","Copy","Esc W","In Console View"
"Text Editing","Universal Argument","Alt+7","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Text Editing","Universal Argument","Ctrl+2","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Text Editing","Universal Argument","Ctrl+5","Editing Text"
"Text Editing","Universal Argument","Alt+8","Editing Text"
"Refactor - Java","Convert Local Variable to Field","Ctrl+C P L","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Text Editing","Eval Expression","Shift+Alt+;","In Windows"
"Text Editing","Forward Paragraph","Shift+Alt+]","Editing Text"
"Edit","Forward Sexp","Ctrl+Alt+F","Editing Text"
"Refactor - Java","Introduce Parameter","Ctrl+C P X P","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+9","Editing Text"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
